Date,Price,Open,High,Low,Vol.,Change %
3/17/17,"1,000.12","1,001.62","1,004.38",994.38,-,-0.08%
3/16/17,"1,000.88",999.62,"1,006.62",995.88,-,0.30%
3/15/17,997.88,998.62,"1,007.62",995.38,-,-0.12%
3/14/17,999.12,"1,006.50","1,007.88",992.12,-,-0.70%
3/13/17,"1,006.12","1,006.38","1,010.12","1,003.62",-,-0.05%
3/10/17,"1,006.62","1,011.88","1,012.75","1,003.12",-,-0.42%
3/9/17,"1,010.88","1,020.88","1,022.62","1,006.38",-,-1.08%
3/8/17,"1,021.88","1,025.62","1,027.62","1,018.62",-,-0.39%
3/7/17,"1,025.88","1,038.62","1,041.62","1,022.38",-,-1.11%
3/6/17,"1,037.38","1,039.12","1,048.38","1,035.88",-,0.05%
3/3/17,"1,036.88","1,037.62","1,040.88","1,028.88",-,0.03%
3/2/17,"1,036.62","1,049.12","1,050.88","1,032.12",-,-1.40%
3/1/17,"1,051.38","1,036.88","1,051.88","1,035.12",-,1.45%
2/28/17,"1,036.38","1,024.38","1,056.12","1,023.50",-,1.42%
2/27/17,"1,021.88","1,027.38","1,028.88","1,017.12",-,0.79%
2/24/17,"1,013.90","1,011.88","1,016.12","1,009.38",-,0.02%
2/23/17,"1,013.70","1,022.62","1,026.90","1,010.10",-,-0.90%
2/22/17,"1,022.90","1,027.88","1,031.62","1,022.38",-,-0.37%
2/21/17,"1,026.70","1,033.88","1,044.40","1,026.10",-,-0.79%
2/17/17,"1,034.90","1,043.38","1,046.12","1,031.10",-,-0.84%
2/16/17,"1,043.70","1,060.12","1,062.62","1,042.60",-,-1.64%
2/15/17,"1,061.10","1,045.12","1,061.40","1,040.38",-,1.50%
2/14/17,"1,045.40","1,055.12","1,055.90","1,042.60",-,-0.97%
2/13/17,"1,055.60","1,059.38","1,061.62","1,050.60",-,-0.24%
2/10/17,"1,058.10","1,050.12","1,063.40","1,047.60",-,0.77%
2/9/17,"1,050.00","1,055.88","1,061.40","1,045.10",-,-0.79%
2/8/17,"1,058.40","1,041.88","1,059.62","1,040.00",-,1.61%
2/7/17,"1,041.60","1,038.88","1,043.12","1,032.10",-,0.39%
2/6/17,"1,037.60","1,027.88","1,042.38","1,026.38",-,1.07%
2/3/17,"1,026.60","1,036.12","1,044.12","1,026.40",-,-0.95%
2/2/17,"1,036.40","1,037.12","1,041.62","1,031.50",-,-0.06%
2/1/17,"1,037.00","1,024.12","1,037.40","1,017.10",-,1.21%
1/31/17,"1,024.60","1,023.12","1,026.62","1,019.60",-,0.20%
1/30/17,"1,022.60","1,043.88","1,043.88","1,019.60",-,-2.55%
1/27/17,"1,049.40","1,047.38","1,051.90","1,043.10",-,0.10%
1/26/17,"1,048.40","1,055.38","1,058.62","1,045.60",-,-0.77%
1/25/17,"1,056.50","1,057.38","1,059.90","1,050.10",-,-0.23%
1/24/17,"1,058.90","1,060.12","1,068.12","1,051.38",-,-0.09%
1/23/17,"1,059.90","1,066.88","1,069.40","1,055.38",-,-0.70%
1/20/17,"1,067.40","1,070.12","1,071.12","1,060.25",-,-0.21%
1/19/17,"1,069.60","1,072.62","1,077.12","1,066.88",-,-0.42%
1/18/17,"1,074.10","1,067.88","1,079.90","1,062.60",-,0.61%
1/17/17,"1,067.60","1,054.12","1,075.25","1,052.38",-,2.24%
1/13/17,"1,044.20","1,037.62","1,052.62","1,033.10",-,0.44%
1/12/17,"1,039.60","1,009.38","1,041.12","1,006.10",-,2.92%
1/11/17,"1,010.10","1,012.38","1,016.40","1,001.10",-,-0.31%
1/10/17,"1,013.20","1,003.62","1,014.90",997.38,-,0.83%
1/9/17,"1,004.90",995.12,"1,005.90",993.6,-,0.95%
1/6/17,995.4,"1,012.62","1,014.62",993.6,-,-1.68%
1/5/17,"1,012.40","1,013.38","1,015.90","1,007.60",-,-0.17%
1/4/17,"1,014.10",995.88,"1,015.50",992.75,-,1.78%
1/3/17,996.4,"1,005.40","1,011.62",994.6,-,-0.87%
12/30/16,"1,005.10","1,013.12","1,018.40","1,002.60",-,-0.69%
